,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
American Samoa,161.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,36.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,4.0,5.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,12.0,0.0,4.0,27.0,0.0,0.0,0.0,5
Angola,105.0,0.0,0.0,,0.0,11.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,,0.0,0.0,,0.0,0.0,0.0,,13.0,0.0,4.0,,0.0,,0.0,0.0,3.0,8.0,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,3
Anguilla,37.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Antigua-Barbuda,416.0,0.0,3.0,,0.0,6.0,0.0,4.0,3.0,,42.0,26.0,0.0,0.0,,,0.0,,0.0,,0.0,14.0,11.0,0.0,,0.0,0.0,0.0,,,0.0,25.0,0.0,168.0,3.0,0.0,4.0,0.0,0.0,8.0,,0.0,,,16.0,0.0,52.0,0.0,,7.0,,0.0,0.0,0.0,7
Argentina,2348.0,6.0,,22.0,3.0,547.0,30.0,21.0,4.0,12.0,594.0,34.0,4.0,4.0,69.0,16.0,11.0,8.0,7.0,,3.0,43.0,41.0,19.0,10.0,3.0,13.0,3.0,3.0,36.0,8.0,142.0,5.0,234.0,17.0,,21.0,,19.0,26.0,,6.0,0.0,6.0,133.0,,23.0,38.0,5.0,43.0,26.0,,6.0,0.0,14
Armenia,1495.0,0.0,0.0,10.0,0.0,1170.0,8.0,6.0,,0.0,13.0,,,,11.0,,,3.0,,0.0,0.0,8.0,31.0,6.0,5.0,0.0,4.0,0.0,,34.0,,16.0,0.0,61.0,5.0,0.0,7.0,3.0,4.0,9.0,6.0,0.0,,0.0,16.0,0.0,0.0,8.0,0.0,6.0,16.0,0.0,7.0,,6
Aruba,36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,1
Australia,1067.0,,7.0,30.0,4.0,301.0,26.0,9.0,,10.0,49.0,16.0,16.0,3.0,29.0,9.0,5.0,,,12.0,3.0,21.0,37.0,8.0,11.0,3.0,7.0,5.0,0.0,15.0,7.0,29.0,7.0,93.0,18.0,0.0,13.0,3.0,20.0,22.0,,7.0,,7.0,65.0,0.0,9.0,13.0,4.0,35.0,46.0,,12.0,,10
Austria,292.0,0.0,0.0,6.0,,69.0,14.0,5.0,0.0,0.0,28.0,6.0,4.0,0.0,12.0,3.0,4.0,0.0,,,0.0,3.0,9.0,10.0,6.0,0.0,3.0,0.0,0.0,6.0,4.0,13.0,0.0,24.0,,0.0,7.0,0.0,4.0,3.0,0.0,0.0,,,15.0,0.0,,3.0,0.0,8.0,7.0,0.0,3.0,,0
Azerbaijan,606.0,0.0,0.0,10.0,,140.0,7.0,7.0,,0.0,10.0,,,,25.0,,0.0,,4.0,0.0,,9.0,16.0,17.0,6.0,0.0,8.0,0.0,0.0,,0.0,13.0,,199.0,4.0,0.0,21.0,0.0,,16.0,,0.0,0.0,3.0,12.0,0.0,0.0,8.0,,8.0,40.0,0.0,,0.0,4
Bahamas,397.0,,0.0,0.0,,12.0,,,,,222.0,34.0,3.0,0.0,4.0,,0.0,0.0,,0.0,0.0,7.0,7.0,,,0.0,,0.0,0.0,0.0,3.0,9.0,,20.0,6.0,0.0,0.0,3.0,,3.0,0.0,,0.0,,16.0,0.0,0.0,,,11.0,,0.0,0.0,0.0,14
Bahrain,56.0,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,6.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0
Bangladesh,4746.0,19.0,,51.0,4.0,335.0,20.0,50.0,8.0,8.0,199.0,136.0,,3.0,83.0,10.0,6.0,18.0,3.0,3.0,,109.0,79.0,295.0,44.0,,24.0,0.0,6.0,23.0,4.0,329.0,,2060.0,17.0,5.0,48.0,20.0,26.0,103.0,0.0,4.0,0.0,11.0,338.0,0.0,0.0,4.0,,183.0,19.0,,6.0,0.0,23
Barbados,718.0,,0.0,6.0,,31.0,,11.0,3.0,4.0,63.0,21.0,0.0,0.0,7.0,0.0,,0.0,0.0,3.0,0.0,18.0,60.0,,6.0,,,0.0,0.0,0.0,,52.0,,327.0,6.0,,5.0,0.0,,22.0,0.0,,0.0,3.0,26.0,0.0,,0.0,0.0,12.0,,0.0,,0.0,8
Belarus,1401.0,,3.0,8.0,,238.0,37.0,4.0,3.0,,43.0,33.0,,5.0,110.0,4.0,4.0,0.0,4.0,0.0,,20.0,78.0,21.0,50.0,0.0,25.0,,3.0,6.0,4.0,59.0,3.0,306.0,9.0,0.0,50.0,3.0,12.0,63.0,,13.0,0.0,3.0,22.0,0.0,0.0,8.0,3.0,23.0,77.0,,24.0,,9
Belgium,248.0,0.0,0.0,,0.0,57.0,4.0,,,3.0,23.0,10.0,3.0,,7.0,,,,,5.0,,5.0,8.0,5.0,0.0,0.0,,,0.0,4.0,0.0,14.0,0.0,26.0,,0.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,,21.0,0.0,0.0,,0.0,12.0,3.0,0.0,,0.0,1
Belize,799.0,,,9.0,,352.0,4.0,3.0,0.0,,54.0,12.0,3.0,0.0,87.0,,0.0,0.0,0.0,4.0,,6.0,4.0,,3.0,3.0,,,0.0,14.0,0.0,16.0,0.0,112.0,4.0,0.0,7.0,,,8.0,0.0,,,,54.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,,0.0,6
Benin,61.0,,0.0,,0.0,6.0,0.0,0.0,0.0,,0.0,3.0,,0.0,6.0,,,0.0,,,0.0,8.0,,,,0.0,,0.0,,0.0,,3.0,0.0,4.0,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1
Bermuda,42.0,0.0,0.0,0.0,0.0,3.0,,0.0,,0.0,,5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1
Bhutan,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bolivia,1311.0,0.0,0.0,11.0,5.0,193.0,15.0,7.0,0.0,11.0,137.0,8.0,3.0,,19.0,5.0,,,6.0,,,96.0,22.0,,6.0,,5.0,0.0,0.0,12.0,3.0,42.0,3.0,84.0,11.0,,9.0,,3.0,10.0,22.0,3.0,0.0,4.0,94.0,0.0,4.0,15.0,,390.0,11.0,5.0,6.0,3.0,13
Bosnia-Herzegovina,8175.0,18.0,0.0,291.0,,321.0,118.0,48.0,,3.0,428.0,382.0,,156.0,1036.0,122.0,362.0,21.0,306.0,21.0,28.0,34.0,152.0,346.0,215.0,3.0,694.0,0.0,55.0,107.0,86.0,97.0,4.0,608.0,103.0,100.0,237.0,7.0,70.0,173.0,4.0,6.0,42.0,78.0,356.0,0.0,0.0,162.0,98.0,147.0,227.0,0.0,158.0,0.0,140
Botswana,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brazil,5745.0,18.0,0.0,70.0,,783.0,36.0,85.0,5.0,20.0,1262.0,118.0,43.0,6.0,110.0,19.0,,13.0,18.0,10.0,0.0,92.0,864.0,60.0,22.0,10.0,22.0,,7.0,47.0,67.0,546.0,7.0,473.0,51.0,0.0,44.0,9.0,36.0,61.0,23.0,25.0,,18.0,309.0,0.0,6.0,68.0,,99.0,58.0,3.0,36.0,,56
British Virgin Islands,40.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,4.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,0.0,0.0,,,0.0,0.0,0.0,1
Brunei,20.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0
Bulgaria,2621.0,4.0,,45.0,,343.0,53.0,19.0,8.0,8.0,186.0,156.0,10.0,0.0,588.0,28.0,6.0,12.0,23.0,12.0,9.0,33.0,81.0,74.0,20.0,3.0,57.0,0.0,5.0,82.0,5.0,91.0,5.0,218.0,31.0,,40.0,11.0,21.0,32.0,,9.0,0.0,10.0,73.0,0.0,,7.0,,62.0,76.0,,42.0,,13
Burkina Faso,37.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0,0
Burma,1058.0,0.0,0.0,5.0,0.0,458.0,17.0,3.0,,,33.0,11.0,8.0,,23.0,56.0,0.0,7.0,,,0.0,28.0,17.0,9.0,32.0,0.0,4.0,0.0,6.0,4.0,0.0,19.0,0.0,144.0,13.0,,17.0,3.0,10.0,11.0,0.0,,0.0,,29.0,0.0,0.0,,0.0,24.0,24.0,,13.0,0.0,16
Burundi,95.0,4.0,0.0,7.0,,3.0,4.0,,0.0,,4.0,11.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,5.0,4.0,,,0.0,,0.0,,0.0,0.0,3.0,0.0,,,,,0.0,,0.0,0.0,0.0,,6.0,13.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0
Cambodia,4197.0,8.0,3.0,27.0,,1535.0,46.0,31.0,,,65.0,108.0,10.0,,55.0,7.0,16.0,15.0,25.0,8.0,38.0,21.0,594.0,23.0,206.0,,12.0,0.0,9.0,23.0,12.0,13.0,0.0,76.0,55.0,,102.0,6.0,57.0,213.0,87.0,16.0,4.0,24.0,213.0,0.0,,21.0,0.0,75.0,283.0,,20.0,0.0,26
Cameroon,611.0,,0.0,3.0,,38.0,6.0,,10.0,13.0,8.0,64.0,,0.0,26.0,,,,6.0,,0.0,117.0,36.0,11.0,54.0,0.0,,0.0,6.0,,0.0,19.0,0.0,22.0,8.0,,19.0,9.0,0.0,7.0,0.0,3.0,0.0,5.0,55.0,0.0,,0.0,0.0,26.0,3.0,,6.0,0.0,12
Canada,8473.0,33.0,28.0,315.0,19.0,1457.0,186.0,103.0,10.0,16.0,892.0,193.0,80.0,36.0,261.0,81.0,37.0,42.0,44.0,34.0,81.0,102.0,280.0,370.0,130.0,13.0,82.0,37.0,31.0,120.0,144.0,207.0,34.0,455.0,170.0,45.0,223.0,31.0,151.0,165.0,20.0,63.0,15.0,59.0,598.0,0.0,6.0,101.0,56.0,147.0,483.0,10.0,104.0,10.0,63
Cape Verde,1223.0,0.0,0.0,0.0,0.0,,0.0,11.0,0.0,,13.0,4.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,967.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,19.0,,0.0,0.0,0.0,,0.0,170.0,0.0,0.0,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10
Cayman Islands,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Central African Republic,17.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chad,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,2
Chile,1346.0,,0.0,17.0,,253.0,16.0,18.0,,5.0,268.0,13.0,,4.0,28.0,7.0,,5.0,6.0,5.0,,29.0,61.0,14.0,11.0,,5.0,,3.0,27.0,4.0,95.0,10.0,148.0,22.0,,16.0,,19.0,15.0,0.0,3.0,,11.0,59.0,0.0,10.0,23.0,0.0,46.0,25.0,,8.0,0.0,19
"China, People's Republic",33134.0,70.0,7.0,236.0,25.0,11609.0,271.0,217.0,58.0,51.0,426.0,380.0,370.0,37.0,1499.0,194.0,65.0,90.0,69.0,85.0,38.0,765.0,1540.0,565.0,290.0,20.0,202.0,11.0,39.0,226.0,65.0,1486.0,34.0,6538.0,233.0,6.0,496.0,43.0,425.0,769.0,49.0,53.0,13.0,103.0,1404.0,0.0,64.0,84.0,25.0,552.0,703.0,21.0,129.0,10.0,374
Colombia,12089.0,28.0,18.0,93.0,10.0,834.0,72.0,144.0,20.0,21.0,3698.0,319.0,,7.0,282.0,46.0,10.0,21.0,32.0,36.0,4.0,125.0,344.0,39.0,43.0,10.0,38.0,,31.0,90.0,61.0,1626.0,20.0,1953.0,144.0,,82.0,21.0,31.0,168.0,107.0,85.0,,35.0,721.0,0.0,90.0,43.0,3.0,204.0,60.0,3.0,55.0,0.0,155
"Congo, Democratic Republic",164.0,0.0,0.0,4.0,0.0,10.0,4.0,,0.0,4.0,4.0,11.0,0.0,0.0,4.0,,3.0,0.0,5.0,,,12.0,3.0,,5.0,0.0,5.0,0.0,0.0,,,3.0,,11.0,10.0,0.0,4.0,,,7.0,0.0,,0.0,3.0,17.0,0.0,0.0,0.0,,8.0,6.0,0.0,,0.0,4
"Congo, Republic",287.0,,0.0,15.0,0.0,14.0,3.0,3.0,0.0,,6.0,21.0,0.0,,13.0,3.0,7.0,0.0,6.0,4.0,7.0,14.0,14.0,,7.0,0.0,8.0,0.0,5.0,,,10.0,0.0,24.0,4.0,4.0,,0.0,0.0,4.0,0.0,,0.0,12.0,38.0,0.0,0.0,6.0,4.0,13.0,,0.0,0.0,0.0,4
Costa Rica,1227.0,5.0,4.0,22.0,,215.0,7.0,8.0,,4.0,242.0,23.0,3.0,,19.0,7.0,6.0,3.0,3.0,7.0,0.0,17.0,25.0,4.0,8.0,3.0,,,,22.0,6.0,158.0,,115.0,37.0,0.0,17.0,4.0,9.0,21.0,0.0,13.0,0.0,14.0,102.0,0.0,5.0,3.0,0.0,13.0,11.0,0.0,12.0,,19
Cote d'Ivoire,382.0,0.0,0.0,4.0,,29.0,5.0,,3.0,8.0,8.0,29.0,0.0,0.0,10.0,,,0.0,,,0.0,37.0,12.0,8.0,7.0,0.0,,0.0,0.0,3.0,,19.0,0.0,74.0,6.0,0.0,9.0,0.0,,22.0,,,,,32.0,0.0,3.0,0.0,0.0,10.0,12.0,0.0,4.0,0.0,7
Croatia,1073.0,3.0,0.0,63.0,0.0,73.0,18.0,3.0,12.0,,73.0,26.0,0.0,15.0,119.0,47.0,35.0,,12.0,6.0,6.0,10.0,13.0,35.0,14.0,0.0,30.0,,6.0,28.0,17.0,29.0,,67.0,6.0,10.0,59.0,,5.0,18.0,0.0,,3.0,,49.0,0.0,,20.0,4.0,16.0,19.0,,73.0,0.0,18
Cuba,15394.0,18.0,,49.0,4.0,402.0,15.0,19.0,3.0,6.0,12167.0,112.0,,,98.0,27.0,4.0,9.0,180.0,44.0,,34.0,45.0,68.0,11.0,10.0,20.0,0.0,11.0,245.0,3.0,598.0,36.0,263.0,51.0,,26.0,4.0,47.0,53.0,0.0,11.0,3.0,26.0,245.0,0.0,153.0,7.0,0.0,33.0,29.0,,8.0,,186
Cyprus,109.0,0.0,0.0,,0.0,18.0,0.0,,0.0,,10.0,,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,,3.0,0.0,14.0,0.0,21.0,,0.0,3.0,0.0,,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1
Czech Republic,122.0,0.0,0.0,,,24.0,7.0,0.0,0.0,0.0,10.0,8.0,3.0,,11.0,,0.0,0.0,,0.0,0.0,3.0,,3.0,,,,0.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,,4.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,2
"Czechoslovakia, former",449.0,3.0,0.0,9.0,,67.0,28.0,6.0,,0.0,45.0,12.0,4.0,,29.0,3.0,0.0,3.0,,6.0,,8.0,12.0,9.0,4.0,,3.0,0.0,,6.0,,25.0,,48.0,14.0,0.0,14.0,,,12.0,,,,4.0,15.0,0.0,,5.0,5.0,9.0,9.0,0.0,5.0,0.0,3
Denmark,170.0,0.0,0.0,4.0,0.0,43.0,3.0,,0.0,0.0,14.0,5.0,3.0,0.0,9.0,,0.0,,,0.0,3.0,4.0,3.0,3.0,3.0,0.0,,,,,0.0,3.0,0.0,11.0,6.0,0.0,,0.0,,,,,0.0,,11.0,0.0,0.0,,0.0,7.0,9.0,,,0.0,2
Djibouti,14.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Dominica,539.0,0.0,4.0,0.0,,11.0,0.0,6.0,,0.0,55.0,26.0,,0.0,5.0,,0.0,0.0,0.0,4.0,,15.0,24.0,3.0,0.0,0.0,4.0,0.0,,0.0,0.0,38.0,,123.0,5.0,0.0,,,0.0,13.0,,0.0,0.0,4.0,32.0,0.0,128.0,0.0,0.0,6.0,4.0,0.0,,0.0,15
Dominican Republic,20645.0,11.0,24.0,23.0,3.0,82.0,12.0,156.0,21.0,32.0,1554.0,140.0,6.0,,84.0,32.0,4.0,11.0,11.0,28.0,7.0,141.0,2308.0,73.0,15.0,,20.0,,3.0,32.0,116.0,2939.0,6.0,10028.0,109.0,,113.0,3.0,4.0,581.0,438.0,12.0,,11.0,130.0,0.0,993.0,16.0,,103.0,17.0,,25.0,0.0,158
East Timor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ecuador,7229.0,,,31.0,10.0,516.0,28.0,121.0,8.0,10.0,779.0,62.0,13.0,3.0,362.0,13.0,12.0,11.0,17.0,15.0,4.0,74.0,97.0,15.0,82.0,3.0,13.0,,,18.0,13.0,1358.0,8.0,2869.0,76.0,,28.0,4.0,15.0,101.0,10.0,14.0,,11.0,153.0,0.0,12.0,34.0,,89.0,20.0,,14.0,0.0,72
Egypt,3231.0,7.0,0.0,40.0,4.0,529.0,18.0,26.0,7.0,9.0,167.0,34.0,5.0,,103.0,33.0,8.0,8.0,9.0,15.0,,55.0,91.0,64.0,59.0,6.0,16.0,0.0,3.0,14.0,12.0,558.0,,515.0,50.0,0.0,105.0,10.0,8.0,106.0,11.0,21.0,0.0,83.0,182.0,0.0,,4.0,,140.0,35.0,0.0,11.0,0.0,43
